asset_id,vuln_id
asset_0,CVE-2024-1251
asset_1,CVE-2024-1074
asset_1,CVE-2024-1473
asset_1,CVE-2024-1513
asset_1,CVE-2024-1361
asset_1,CVE-2024-1082
asset_1,CVE-2024-1253
asset_1,CVE-2024-1595
asset_1,CVE-2024-1004
asset_1,CVE-2024-1060
asset_1,CVE-2024-1174
asset_1,CVE-2024-1420
asset_2,CVE-2024-1446
asset_2,CVE-2024-1024
asset_2,CVE-2024-1189
asset_3,CVE-2024-1209
asset_3,CVE-2024-1164
asset_3,CVE-2024-1600
asset_3,CVE-2024-1085
asset_3,CVE-2024-1386
asset_3,CVE-2024-1060
asset_3,CVE-2024-1176
asset_3,CVE-2024-1026
asset_4,CVE-2024-1367
asset_4,CVE-2024-1221
asset_4,CVE-2024-1120
asset_4,CVE-2024-1662
asset_4,CVE-2024-1155
asset_4,CVE-2024-1554
asset_4,CVE-2024-1456
asset_5,CVE-2024-1653
asset_6,CVE-2024-1485
asset_6,CVE-2024-1019
asset_7,CVE-2024-1040
asset_8,CVE-2024-1098
asset_9,CVE-2024-1335
asset_10,CVE-2024-1584
asset_10,CVE-2024-1595
asset_11,CVE-2024-1389
asset_11,CVE-2024-1095
asset_11,CVE-2024-1523
asset_12,CVE-2024-1723
asset_12,CVE-2024-1402
asset_12,CVE-2024-1798
asset_12,CVE-2024-1226
asset_12,CVE-2024-1792
asset_12,CVE-2024-1270
asset_13,CVE-2024-1047
asset_13,CVE-2024-1194
asset_13,CVE-2024-1011
asset_13,CVE-2024-1757
asset_13,CVE-2024-1423
asset_13,CVE-2024-1738
asset_13,CVE-2024-1605
asset_14,CVE-2024-1518
asset_14,CVE-2024-1075
asset_14,CVE-2024-1010
asset_14,CVE-2024-1182
asset_14,CVE-2024-1158
asset_15,CVE-2024-1648
asset_16,CVE-2024-1424
asset_17,CVE-2024-1329
asset_18,CVE-2024-1230
asset_18,CVE-2024-1453
asset_18,CVE-2024-1305
asset_19,CVE-2024-1313
asset_20,CVE-2024-1170
asset_20,CVE-2024-1206
asset_20,CVE-2024-1075
asset_20,CVE-2024-1698
asset_20,CVE-2024-1612
asset_20,CVE-2024-1196
asset_21,CVE-2024-1084
asset_21,CVE-2024-1038
asset_21,CVE-2024-1262
asset_21,CVE-2024-1744
asset_22,CVE-2024-1716
asset_23,CVE-2024-1561
asset_23,CVE-2024-1279
asset_23,CVE-2024-1203
asset_23,CVE-2024-1596
asset_23,CVE-2024-1409
asset_23,CVE-2024-1067
asset_23,CVE-2024-1333
asset_23,CVE-2024-1006
asset_23,CVE-2024-1182
asset_23,CVE-2024-1457
asset_23,CVE-2024-1422
asset_23,CVE-2024-1538
asset_23,CVE-2024-1437
asset_23,CVE-2024-1149
asset_24,CVE-2024-1049
asset_25,CVE-2024-1407
asset_25,CVE-2024-1009
asset_25,CVE-2024-1197
asset_26,CVE-2024-1050
asset_26,CVE-2024-1129
asset_26,CVE-2024-1210
asset_26,CVE-2024-1725
asset_26,CVE-2024-1647
asset_26,CVE-2024-1176
asset_26,CVE-2024-1117
asset_27,CVE-2024-1071
asset_27,CVE-2024-1077
asset_28,CVE-2024-1254
asset_29,CVE-2024-1161
asset_30,CVE-2024-1603
asset_31,CVE-2024-1282
asset_31,CVE-2024-1338
asset_31,CVE-2024-1217
asset_31,CVE-2024-1422
asset_31,CVE-2024-1172
asset_31,CVE-2024-1758
asset_31,CVE-2024-1502
asset_32,CVE-2024-1440
asset_32,CVE-2024-1466
asset_33,CVE-2024-1035
asset_33,CVE-2024-1119
asset_33,CVE-2024-1651
asset_34,CVE-2024-1540
asset_35,CVE-2024-1490
asset_35,CVE-2024-1771
asset_35,CVE-2024-1066
asset_36,CVE-2024-1032
asset_36,CVE-2024-1230
asset_36,CVE-2024-1780
asset_36,CVE-2024-1612
asset_37,CVE-2024-1550
asset_38,CVE-2024-1566
asset_38,CVE-2024-1176
asset_38,CVE-2024-1039
asset_38,CVE-2024-1113
asset_38,CVE-2024-1786
asset_38,CVE-2024-1276
asset_38,CVE-2024-1427
asset_38,CVE-2024-1416
asset_38,CVE-2024-1647
asset_38,CVE-2024-1182
asset_38,CVE-2024-1659
asset_38,CVE-2024-1731
asset_38,CVE-2024-1757
asset_38,CVE-2024-1397
asset_38,CVE-2024-1531
asset_38,CVE-2024-1031
asset_38,CVE-2024-1722
asset_38,CVE-2024-1360
asset_38,CVE-2024-1321
asset_38,CVE-2024-1688
asset_38,CVE-2024-1071
asset_38,CVE-2024-1574
asset_38,CVE-2024-1155
asset_38,CVE-2024-1174
asset_38,CVE-2024-1582
asset_38,CVE-2024-1151
asset_38,CVE-2024-1753
asset_38,CVE-2024-1154
asset_38,CVE-2024-1348
asset_38,CVE-2024-1379
asset_38,CVE-2024-1709
asset_38,CVE-2024-1104
asset_38,CVE-2024-1556
asset_38,CVE-2024-1337
asset_38,CVE-2024-1035
asset_38,CVE-2024-1292
asset_38,CVE-2024-1660
asset_38,CVE-2024-1548
asset_38,CVE-2024-1307
