asset_id,asset_type,asset_category
asset_0,PC,IT
asset_1,Laptop,IT
asset_2,PC,IT
asset_3,Infusion Pump,Medical
asset_4,Laptop,IT
asset_5,ECG,Medical
asset_6,Server,IT
asset_7,Server,IT
asset_8,Laptop,IT
asset_9,Laptop,IT
asset_10,Laptop,IT
asset_11,Laptop,IT
asset_12,MRI Scanner,Medical
asset_13,Laptop,IT
asset_14,Laptop,IT
asset_15,Server,IT
asset_16,Server,IT
asset_17,Laptop,IT
asset_18,Laptop,IT
asset_19,MRI Scanner,Medical
asset_20,Infusion Pump,Medical
asset_21,Infusion Pump,Medical
asset_22,Server,IT
asset_23,Infusion Pump,Medical
asset_24,Infusion Pump,Medical
asset_25,Infusion Pump,Medical
asset_26,PC,IT
asset_27,PC,IT
asset_28,MRI Scanner,Medical
asset_29,PC,IT
asset_30,Laptop,IT
asset_31,PC,IT
asset_32,PC,IT
asset_33,Infusion Pump,Medical
asset_34,Server,IT
asset_35,PC,IT
asset_36,Laptop,IT
asset_37,Server,IT
asset_38,PC,IT
asset_39,Server,IT
asset_40,Laptop,IT
asset_41,Server,IT
asset_42,Laptop,IT
asset_43,MRI Scanner,Medical
asset_44,ECG,Medical
asset_45,MRI Scanner,Medical
asset_46,PC,IT
asset_47,PC,IT
asset_48,Laptop,IT
asset_49,Infusion Pump,Medical
asset_50,Infusion Pump,Medical
asset_51,Laptop,IT
asset_52,Server,IT
asset_53,ECG,Medical
asset_54,PC,IT
asset_55,MRI Scanner,Medical
asset_56,Server,IT
asset_57,Laptop,IT
asset_58,PC,IT
asset_59,Laptop,IT
asset_60,Laptop,IT
asset_61,Server,IT
asset_62,Server,IT
asset_63,ECG,Medical
asset_64,Laptop,IT
asset_65,MRI Scanner,Medical
asset_66,Server,IT
asset_67,Server,IT
asset_68,PC,IT
asset_69,Server,IT
asset_70,PC,IT
asset_71,PC,IT
asset_72,Laptop,IT
asset_73,Server,IT
asset_74,MRI Scanner,Medical
asset_75,ECG,Medical
asset_76,Server,IT
asset_77,MRI Scanner,Medical
asset_78,PC,IT
asset_79,PC,IT
asset_80,Laptop,IT
asset_81,PC,IT
asset_82,Infusion Pump,Medical
asset_83,PC,IT
asset_84,Infusion Pump,Medical
asset_85,PC,IT
asset_86,MRI Scanner,Medical
asset_87,Laptop,IT
asset_88,ECG,Medical
asset_89,Server,IT
asset_90,Server,IT
asset_91,Server,IT
asset_92,PC,IT
asset_93,Laptop,IT
asset_94,Server,IT
asset_95,Laptop,IT
asset_96,ECG,Medical
asset_97,Laptop,IT
asset_98,Infusion Pump,Medical
asset_99,PC,IT
asset_100,PC,IT
asset_101,Laptop,IT
asset_102,Server,IT
asset_103,ECG,Medical
asset_104,Server,IT
asset_105,PC,IT
asset_106,Laptop,IT
asset_107,PC,IT
asset_108,Laptop,IT
asset_109,PC,IT
asset_110,Server,IT
asset_111,Laptop,IT
asset_112,Laptop,IT
asset_113,ECG,Medical
asset_114,MRI Scanner,Medical
asset_115,Server,IT
asset_116,Server,IT
asset_117,PC,IT
asset_118,Server,IT
asset_119,MRI Scanner,Medical
asset_120,Laptop,IT
asset_121,PC,IT
asset_122,Server,IT
asset_123,PC,IT
asset_124,Infusion Pump,Medical
asset_125,MRI Scanner,Medical
asset_126,MRI Scanner,Medical
asset_127,MRI Scanner,Medical
asset_128,Laptop,IT
asset_129,Laptop,IT
asset_130,PC,IT
asset_131,MRI Scanner,Medical
asset_132,Laptop,IT
asset_133,Laptop,IT
asset_134,Laptop,IT
asset_135,PC,IT
asset_136,Laptop,IT
asset_137,PC,IT
asset_138,PC,IT
asset_139,MRI Scanner,Medical
asset_140,Server,IT
asset_141,Laptop,IT
asset_142,Laptop,IT
asset_143,Laptop,IT
asset_144,PC,IT
asset_145,Laptop,IT
asset_146,Laptop,IT
asset_147,ECG,Medical
asset_148,PC,IT
asset_149,Server,IT
asset_150,Server,IT
asset_151,Infusion Pump,Medical
asset_152,PC,IT
asset_153,Laptop,IT
asset_154,Infusion Pump,Medical
asset_155,PC,IT
asset_156,Laptop,IT
asset_157,PC,IT
asset_158,Server,IT
asset_159,Laptop,IT
asset_160,Infusion Pump,Medical
asset_161,PC,IT
asset_162,Laptop,IT
asset_163,Laptop,IT
asset_164,ECG,Medical
asset_165,ECG,Medical
asset_166,PC,IT
asset_167,PC,IT
asset_168,PC,IT
asset_169,ECG,Medical
asset_170,PC,IT
asset_171,Server,IT
asset_172,Laptop,IT
asset_173,Server,IT
asset_174,Server,IT
asset_175,PC,IT
asset_176,PC,IT
asset_177,Laptop,IT
asset_178,Laptop,IT
asset_179,Server,IT
asset_180,Server,IT
asset_181,PC,IT
asset_182,PC,IT
asset_183,Laptop,IT
asset_184,Laptop,IT
asset_185,Infusion Pump,Medical
asset_186,PC,IT
asset_187,ECG,Medical
asset_188,Server,IT
asset_189,PC,IT
asset_190,Laptop,IT
asset_191,MRI Scanner,Medical
asset_192,ECG,Medical
asset_193,PC,IT
asset_194,Server,IT
asset_195,PC,IT
asset_196,Server,IT
asset_197,Server,IT
asset_198,PC,IT
asset_199,Laptop,IT
asset_200,Server,IT
asset_201,Server,IT
asset_202,PC,IT
asset_203,Server,IT
asset_204,PC,IT
asset_205,PC,IT
asset_206,Laptop,IT
asset_207,Laptop,IT
asset_208,Laptop,IT
asset_209,ECG,Medical
asset_210,Laptop,IT
asset_211,MRI Scanner,Medical
asset_212,Server,IT
asset_213,Server,IT
asset_214,PC,IT
asset_215,MRI Scanner,Medical
asset_216,Infusion Pump,Medical
asset_217,Infusion Pump,Medical
asset_218,Laptop,IT
asset_219,PC,IT
asset_220,Server,IT
asset_221,MRI Scanner,Medical
asset_222,Laptop,IT
asset_223,Server,IT
asset_224,ECG,Medical
asset_225,PC,IT
asset_226,Server,IT
asset_227,Server,IT
asset_228,PC,IT
asset_229,Server,IT
asset_230,Server,IT
asset_231,PC,IT
asset_232,PC,IT
asset_233,Server,IT
asset_234,MRI Scanner,Medical
asset_235,PC,IT
asset_236,ECG,Medical
asset_237,PC,IT
asset_238,Laptop,IT
asset_239,PC,IT
asset_240,Server,IT
asset_241,PC,IT
asset_242,Laptop,IT
asset_243,PC,IT
asset_244,ECG,Medical
asset_245,Server,IT
asset_246,Server,IT
asset_247,Server,IT
asset_248,Laptop,IT
asset_249,PC,IT
asset_250,Laptop,IT
asset_251,PC,IT
asset_252,Server,IT
asset_253,Server,IT
asset_254,PC,IT
asset_255,ECG,Medical
asset_256,ECG,Medical
asset_257,PC,IT
asset_258,Server,IT
asset_259,PC,IT
asset_260,Infusion Pump,Medical
asset_261,Server,IT
asset_262,PC,IT
asset_263,PC,IT
asset_264,Laptop,IT
asset_265,Laptop,IT
asset_266,Laptop,IT
asset_267,Server,IT
asset_268,Laptop,IT
asset_269,ECG,Medical
asset_270,Server,IT
asset_271,Server,IT
asset_272,PC,IT
asset_273,Server,IT
asset_274,Server,IT
asset_275,Server,IT
asset_276,Server,IT
asset_277,PC,IT
asset_278,Laptop,IT
asset_279,Server,IT
asset_280,PC,IT
asset_281,Laptop,IT
asset_282,PC,IT
asset_283,Infusion Pump,Medical
asset_284,Server,IT
asset_285,PC,IT
asset_286,Server,IT
asset_287,Laptop,IT
asset_288,MRI Scanner,Medical
asset_289,Server,IT
asset_290,Laptop,IT
asset_291,Laptop,IT
asset_292,Laptop,IT
asset_293,PC,IT
asset_294,MRI Scanner,Medical
asset_295,PC,IT
asset_296,Laptop,IT
asset_297,PC,IT
asset_298,ECG,Medical
asset_299,PC,IT
asset_300,Server,IT
asset_301,Infusion Pump,Medical
asset_302,Laptop,IT
asset_303,MRI Scanner,Medical
asset_304,ECG,Medical
asset_305,Laptop,IT
asset_306,Server,IT
asset_307,Server,IT
asset_308,PC,IT
asset_309,Infusion Pump,Medical
asset_310,Infusion Pump,Medical
asset_311,PC,IT
asset_312,Server,IT
asset_313,ECG,Medical
asset_314,Laptop,IT
asset_315,Laptop,IT
asset_316,MRI Scanner,Medical
asset_317,PC,IT
asset_318,Laptop,IT
asset_319,Server,IT
asset_320,Server,IT
asset_321,Infusion Pump,Medical
asset_322,PC,IT
asset_323,Server,IT
asset_324,Server,IT
asset_325,ECG,Medical
asset_326,Server,IT
asset_327,Infusion Pump,Medical
asset_328,ECG,Medical
asset_329,Server,IT
