connection_type,ip,mac,device_id,category,sub_category,manufacturer,type,model,serial_number,os,sw_fw_version,hw_version,vlan,connector_device_id,ap_name,ap_location,risk_score_points,risk_score
Ethernet Connection,10.5.29.222,0A:65:BC:EB:F0:9E,CQPBBPDHSD,Medical,Imaging,GE,PACS,Centricity Enterprise Archive,N/A,N/A,4.120.10324.12154,N/A,205,N/A,N/A,N/A,47,Medium
Ethernet Connection,10.5.29.221,0A:65:BC:FC:A5:0B,CQPBCZSDMX,Medical,Imaging,GE,PACS,Centricity Enterprise Archive,N/A,N/A,4.120.10324.12154,N/A,205,N/A,N/A,N/A,49,Medium
Ethernet Connection,10.5.29.220,0A:65:BC:00:4E:58,CQPBEKGZHR,Medical,Imaging,GE,PACS,Centricity Enterprise Archive,N/A,N/A,4.120.10324.12154,N/A,205,N/A,N/A,N/A,56,Medium
Ethernet Connection,10.5.29.245,0A:65:BC:08:FB:B0,CQPBMYINOH,Medical,Patient Devices,Welch Allyn,Vital Signs Monitor Gateway,Connex,KQTACC2E,Windows,N/A,N/A,205,N/A,N/A,N/A,39,Very Low
Ethernet Connection,10.5.29.219,0A:65:BC:CF:FA:FE,CQPBRBKKLV,Medical,Imaging,GE,PACS,Centricity Enterprise Archive,N/A,N/A,4.120.10324.12154,N/A,205,N/A,N/A,N/A,73,Critical
Ethernet Connection,10.5.29.218,0A:65:BC:D5:25:BD,CQPBSLZGGP,Medical,Imaging,GE,PACS,Centricity Enterprise Archive,N/A,N/A,4.120.10324.12154,N/A,205,N/A,N/A,N/A,72,Critical
Ethernet Connection,10.5.29.237,00:50:56:87:E1:7F,CQPCKTKHBE,Medical,Surgery,iSirona,Anesthesia Cart Gateway,DeviceConX Middleware,N/A,Windows 10/Server 2016 1607,N/A,N/A,205,N/A,N/A,N/A,68,High
Ethernet Connection,10.5.29.195,0A:65:BC:54:1C:4C,CQPCTNZXHT,IoT,General IoT,Lexmark,Printer,T652,N/A,N/A,N/A,N/A,205,N/A,N/A,N/A,49,Medium
Ethernet Connection,10.5.29.194,0A:65:BC:5C:D6:02,CQPCUYOTCN,IoT,General IoT,Lexmark,Printer,T652,N/A,N/A,N/A,N/A,205,N/A,N/A,N/A,50,Medium
Ethernet Connection,10.5.29.197,0A:65:BC:05:4B:95,CQPCWJDNJX,Medical,Imaging,Konica Minolta,Imaging Workstation,CS-7,G7SGBY73,Windows 7 SP1,N/A,N/A,205,N/A,N/A,N/A,79,Critical
