vuln_id,cvss_base_score,exploit_available
CVE-2024-1000,2.8,False
CVE-2024-1001,7.7,False
CVE-2024-1002,3.9,False
CVE-2024-1003,5.2,True
CVE-2024-1004,3.3,False
CVE-2024-1005,8.0,False
CVE-2024-1006,3.3,False
CVE-2024-1007,4.0,False
CVE-2024-1008,6.3,False
CVE-2024-1009,3.4,False
CVE-2024-1010,8.5,False
CVE-2024-1011,6.8,False
CVE-2024-1012,3.4,False
CVE-2024-1013,2.4,False
CVE-2024-1014,5.5,False
CVE-2024-1015,3.6,False
CVE-2024-1016,4.3,False
CVE-2024-1017,4.4,False
CVE-2024-1018,2.5,False
CVE-2024-1019,1.1,False
CVE-2024-1020,4.0,False
CVE-2024-1021,3.5,False
CVE-2024-1022,3.4,False
CVE-2024-1023,3.8,False
CVE-2024-1024,4.5,False
CVE-2024-1025,4.3,False
CVE-2024-1026,5.8,True
CVE-2024-1027,5.8,False
CVE-2024-1028,2.3,False
CVE-2024-1029,3.5,False
CVE-2024-1030,4.4,False
CVE-2024-1031,9.7,False
CVE-2024-1032,4.2,False
CVE-2024-1033,5.0,False
CVE-2024-1034,5.7,True
CVE-2024-1035,3.2,False
CVE-2024-1036,9.4,False
CVE-2024-1037,8.1,False
CVE-2024-1038,4.3,False
CVE-2024-1039,5.6,False
CVE-2024-1040,3.7,False
CVE-2024-1041,3.7,True
CVE-2024-1042,5.5,False
CVE-2024-1043,2.2,False
CVE-2024-1044,5.4,False
CVE-2024-1045,9.7,False
CVE-2024-1046,3.6,False
CVE-2024-1047,10.0,False
CVE-2024-1048,3.9,False
CVE-2024-1049,7.5,False
CVE-2024-1050,3.2,False
CVE-2024-1051,6.5,False
CVE-2024-1052,5.6,False
CVE-2024-1053,5.3,False
CVE-2024-1054,2.6,True
CVE-2024-1055,7.4,False
CVE-2024-1056,5.7,True
CVE-2024-1057,0.6,True
CVE-2024-1058,3.6,False
CVE-2024-1059,3.1,False
CVE-2024-1060,5.8,False
CVE-2024-1061,4.1,False
CVE-2024-1062,3.4,False
CVE-2024-1063,4.7,False
CVE-2024-1064,3.1,False
CVE-2024-1065,7.2,False
CVE-2024-1066,2.9,False
CVE-2024-1067,4.8,False
CVE-2024-1068,6.7,False
CVE-2024-1069,3.3,False
